State,state_po,County name,county_fips,demvotes80,repvotes80,Total_votes,%Votes_Dem80,%Votes_Rep80,tot2pty80,demsh80,repsh80,demvotes00,repvotes00,Total_votes,%Votes_Dem00,%Votes_Rep00,tot2pty00,demsh00,repsh00,demvotes16,repvotes16,Total_votes,%Votes_Dem16,%Votes_Rep16,tot2pty16,demsh16,repsh16,demvotes20,repvotes20,Total_votes,%Votes_Dem20,%Votes_Rep20,tot2pty20,demsh20,repsh20
ALABAMA,AL,CHILTON,1021,4706,6615,11477,0.410037466236821,0.576370131567483,11321,0.415687660100698,0.584312339899302,4806,10066,15092,0.318446859263186,0.666975881261596,14872,0.32315761161915,0.67684238838085,2911,15081,18369,0.158473515161413,0.821002776416789,17992,0.161794130724767,0.838205869275233,3073,16085,19310,0.159140341791818,0.832988089073019,19158,0.160402964818875,0.839597035181125
ALABAMA,AL,CHOCTAW,1023,3680,2859,6580,0.559270516717325,0.434498480243161,6539,0.562777183055513,0.437222816944487,3707,3600,7374,0.502712232167074,0.48820179007323,7307,0.507321746270699,0.492678253729301,3109,4106,7292,0.426357652221613,0.563082830499177,7215,0.430907830907831,0.569092169092169,3127,4296,7464,0.418944265809218,0.57556270096463,7423,0.421258251380843,0.578741748619157
ALABAMA,AL,CLARKE,1025,5249,5059,10663,0.492262965394354,0.474444340241958,10308,0.509216142801707,0.490783857198293,4679,5988,10752,0.435174851190476,0.556919642857143,10667,0.438642542420549,0.561357457579451,5749,7140,13031,0.441178727649451,0.547924180799632,12889,0.446039258282256,0.553960741717744,5755,7324,13135,0.438142367719833,0.557594213932242,13079,0.44001835002676,0.55998164997324
ALABAMA,AL,CLAY,1027,2858,2764,5747,0.497302940664695,0.480946580824778,5622,0.508360014229811,0.491639985770189,2045,3719,5883,0.347611762706102,0.632160462349142,5764,0.354788341429563,0.645211658570437,1237,5245,6624,0.186745169082126,0.791817632850242,6482,0.190836161678494,0.809163838321506,1267,5601,6930,0.182828282828283,0.808225108225108,6868,0.184478741991846,0.815521258008154
ALABAMA,AL,CLEBURNE,1029,2050,2389,4526,0.452938577110031,0.527839151568714,4439,0.461815724262221,0.538184275737779,1664,3333,5092,0.326787117046347,0.654556166535742,4997,0.332999799879928,0.667000200120072,684,5764,6593,0.103746397694525,0.874260579402396,6448,0.106079404466501,0.893920595533499,675,6484,7227,0.0933997509339975,0.897191088971911,7159,0.0942869115798296,0.90571308842017
ALABAMA,AL,COFFEE,1031,6140,6760,13399,0.458243152474065,0.50451526233301,12900,0.475968992248062,0.524031007751938,5220,9938,15434,0.338214331994298,0.643903071141635,15158,0.344372608523552,0.655627391476448,4221,15875,20767,0.203255164443588,0.764433957721385,20096,0.210041799363057,0.789958200636943,5076,16899,22275,0.227878787878788,0.758653198653199,21975,0.23098976109215,0.76901023890785
ALABAMA,AL,COLBERT,1033,12550,6619,20013,0.627092389946535,0.330735022235547,19169,0.654702905733215,0.345297094266785,10543,10518,21532,0.489643321567899,0.488482258963403,21061,0.500593514078154,0.499406485921846,7312,16746,24915,0.293477824603652,0.67212522576761,24058,0.303932163937152,0.696067836062848,8343,19203,27886,0.299182385426379,0.688625116545937,27546,0.302875190590285,0.697124809409715
ALABAMA,AL,CONECUH,1035,3102,2948,6181,0.501860540365637,0.476945478077981,6050,0.512727272727273,0.487272727272727,2783,2699,5551,0.501351107908485,0.486218699333453,5482,0.507661437431594,0.492338562568406,3080,3420,6585,0.467729688686408,0.519362186788155,6500,0.473846153846154,0.526153846153846,2966,3442,6441,0.460487501940692,0.534389070020183,6408,0.462858926342072,0.537141073657928
ALABAMA,AL,COOSA,1037,2383,1714,4209,0.566167735804229,0.407222618199097,4097,0.58164510617525,0.41835489382475,2104,2382,4567,0.46069629954018,0.521567768776002,4486,0.469014712438698,0.530985287561302,1782,3381,5252,0.339299314546839,0.643754760091394,5163,0.345148169668797,0.654851830331203,1796,3631,5479,0.327797043256069,0.662712173754335,5427,0.330937903077207,0.669062096922793
ALABAMA,AL,COVINGTON,1039,6305,7014,13608,0.463330393885949,0.515432098765432,13319,0.473383887679255,0.526616112320745,4440,8961,13613,0.32615881877617,0.658267832219202,13401,0.331318558316544,0.668681441683456,2387,13267,15940,0.149749058971142,0.832308657465496,15654,0.152484987862527,0.847515012137473,2721,14586,17430,0.156110154905336,0.836833046471601,17307,0.157219622118218,0.842780377881782
ALABAMA,AL,CRENSHAW,1041,2704,2478,5256,0.514459665144597,0.471461187214612,5182,0.521806252412196,0.478193747587804,1934,2793,4795,0.403336809176225,0.582481751824818,4727,0.409138988787815,0.590861011212185,1664,4513,6267,0.265517791606829,0.720121270145205,6177,0.269386433543791,0.730613566456209,1700,4864,6617,0.256914009369805,0.735076318573372,6564,0.258988421694089,0.741011578305911
ALABAMA,AL,CULLMAN,1043,11525,10212,22240,0.518210431654676,0.459172661870504,21737,0.53020195979206,0.46979804020794,9758,19157,29525,0.330499576629975,0.648839966130398,28915,0.337471900397717,0.662528099602283,3798,32989,37873,0.10028252316954,0.871042695323845,36787,0.103242993448773,0.896757006551227,4478,36880,41851,0.106998638025376,0.881221476189338,41358,0.108274094491997,0.891725905508003
ALABAMA,AL,DALE,1045,4936,7247,12573,0.392587290225085,0.576393859858427,12183,0.405154723795453,0.594845276204547,4906,10593,15806,0.310388460078451,0.670188535998988,15499,0.316536550745209,0.683463449254791,4413,13808,18749,0.235372553202837,0.736465944850392,18221,0.24219307392569,0.75780692607431,5170,14303,19738,0.261931300030398,0.724642820954504,19473,0.265495814717814,0.734504185282186
ALABAMA,AL,DALLAS,1047,9770,7647,18147,0.538380999614261,0.421391965614151,17417,0.560946201986565,0.439053798013435,10967,7360,18464,0.593966637781629,0.398613518197574,18327,0.598406722322257,0.401593277677743,12836,5789,18792,0.683056619838229,0.308056619838229,18625,0.689181208053691,0.310818791946309,12230,5524,17864,0.6846171070309,0.30922525750112,17754,0.68885884871015,0.31114115128985
